,Course Code,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (grade),Scholarship holder,Debtor,Previous qualification (grade),Gender,Attendance,Marital status,Tuition fees up to date,Target,CGPA,DropOff_Rate,Appreciation_Rate
1,9254,19,0,14.0,0,13.666666666666666,no,no,160.0,female,present,single,no,Graduate,3.842592592592592,0.33,0.0
3,9773,20,0,13.428571428571429,0,12.4,no,no,122.0,male,present,single,yes,Graduate,3.5873015873015874,1.03,0.0
4,8014,45,0,12.333333333333334,0,13.0,no,no,100.0,male,absent,married,yes,Graduate,3.5185185185185186,0.0,0.67
5,9991,50,0,11.857142857142858,0,11.5,no,yes,133.1,female,absent,married,yes,Graduate,3.244047619047619,0.36,0.0
6,9500,18,0,13.3,0,14.345,yes,no,142.0,male,present,single,yes,Graduate,3.8395833333333336,0.0,1.04
8,9238,21,0,13.875,0,14.142857142857142,yes,no,137.0,male,present,single,yes,Graduate,3.8913690476190474,0.0,0.27
10,9670,18,0,12.333333333333334,0,14.2,no,no,139.0,male,present,single,yes,Graduate,3.6851851851851847,0.0,1.87
11,9500,18,0,13.214285714285714,0,13.214285714285714,yes,no,136.0,male,present,single,yes,Graduate,3.6706349206349205,0.0,0.0
13,9254,21,0,10.571428571428571,0,11.0,yes,no,110.0,male,present,single,yes,Graduate,2.9960317460317456,0.0,0.43
17,9500,18,0,13.30625,0,14.545,no,no,135.0,male,present,single,yes,Graduate,3.8682291666666666,0.0,1.24
22,9500,18,0,12.857142857142858,0,12.857142857142858,no,no,142.0,male,present,single,yes,Graduate,3.5714285714285716,0.0,0.0
23,9670,19,0,13.375,0,12.285714285714286,yes,no,125.0,male,present,single,yes,Graduate,3.563988095238095,1.09,0.0
24,9500,19,0,13.296666666666669,0,14.114285714285714,no,no,126.0,male,present,single,yes,Graduate,3.8070767195767194,0.0,0.82
26,9238,21,0,11.375,0,13.285714285714286,no,no,115.0,male,present,single,yes,Graduate,3.425099206349206,0.0,1.91
28,9147,20,0,12.0,0,12.333333333333334,no,no,135.0,male,present,single,yes,Graduate,3.3796296296296298,0.0,0.33
33,8014,19,0,12.666666666666666,0,14.375,no,no,138.0,male,absent,single,yes,Graduate,3.7557870370370368,0.0,1.71
34,9991,34,0,12.4,0,13.428571428571429,no,no,130.0,female,absent,single,yes,Graduate,3.5873015873015874,0.0,1.03
38,9991,39,0,11.0,0,11.6,no,no,120.0,male,absent,married,yes,Graduate,3.138888888888889,0.0,0.6
41,9147,22,0,14.8,0,15.8,no,no,133.0,male,present,single,yes,Graduate,4.25,0.0,1.0
42,9500,22,0,13.928,0,14.342857142857142,no,no,103.0,male,present,single,yes,Graduate,3.9265079365079365,0.0,0.41
46,9238,18,0,11.666666666666666,0,13.2,no,no,130.0,male,present,single,yes,Graduate,3.4537037037037037,0.0,1.53
47,9500,22,0,13.516666666666666,0,13.771428571428572,yes,no,132.0,male,present,single,yes,Graduate,3.7900132275132274,0.0,0.25
48,8014,21,3,11.5,2,13.285714285714286,yes,no,130.0,male,absent,single,yes,Graduate,3.442460317460317,0.0,1.79
49,9238,19,0,12.333333333333334,0,12.833333333333334,yes,no,139.0,male,present,single,yes,Graduate,3.4953703703703702,0.0,0.5
50,9254,24,0,13.666666666666666,0,14.166666666666666,yes,no,130.0,male,present,single,yes,Graduate,3.8657407407407405,0.0,0.5
53,9130,19,0,14.714285714285714,0,15.8,no,no,167.0,male,present,single,yes,Graduate,4.238095238095238,0.0,1.09
54,9991,27,0,10.6,0,11.0,no,no,130.0,male,absent,single,yes,Dropout,3.0,0.0,0.4
55,9500,18,0,13.044444444444444,0,13.595,no,no,130.0,male,present,single,yes,Graduate,3.6999228395061725,0.0,0.55
57,9130,27,0,13.0,5,12.9,no,no,129.0,male,present,single,yes,Dropout,3.597222222222222,0.1,0.0
58,9500,18,0,14.935,0,14.935,no,no,141.0,male,present,single,yes,Graduate,4.148611111111111,0.0,0.0
60,9500,18,0,13.133333333333333,0,12.221428571428572,no,no,125.0,male,present,single,yes,Graduate,3.521494708994709,0.91,0.0
61,9238,21,3,12.0,2,12.0,yes,no,130.0,male,present,single,yes,Graduate,3.333333333333333,0.0,0.0
65,9500,29,2,11.9,1,11.0,no,no,133.1,female,present,married,yes,Dropout,3.1805555555555554,0.9,0.0
67,9003,23,0,12.571428571428571,0,12.428571428571429,no,no,130.0,female,present,single,yes,Graduate,3.4722222222222223,0.14,0.0
71,9500,24,0,11.975,0,13.75,no,no,150.0,female,present,single,yes,Graduate,3.572916666666667,0.0,1.78
77,9773,19,0,13.666666666666666,0,13.333333333333334,yes,yes,121.0,female,present,single,yes,Graduate,3.75,0.33,0.0
78,9500,22,0,14.842857142857142,0,15.055555555555555,yes,no,150.0,female,present,single,yes,Graduate,4.152557319223986,0.0,0.21
79,8014,33,0,12.0,0,11.666666666666666,no,no,120.0,female,absent,married,yes,Graduate,3.2870370370370368,0.33,0.0
80,9853,20,0,12.2,0,12.2,no,no,114.0,female,present,single,yes,Dropout,3.3888888888888884,0.0,0.0
82,9003,24,6,12.166666666666666,7,13.3,no,yes,160.0,female,present,single,yes,Dropout,3.537037037037037,0.0,1.13
84,8014,33,0,11.0,0,11.0,no,no,130.0,male,absent,married,yes,Graduate,3.0555555555555554,0.0,0.0
85,9500,22,0,13.08,0,13.08,yes,no,160.0,male,present,single,yes,Graduate,3.6333333333333333,0.0,0.0
87,9070,20,0,10.666666666666666,0,11.2,no,no,124.0,female,present,single,yes,Graduate,3.037037037037037,0.0,0.53
91,9773,21,0,14.0,0,13.5,no,no,133.1,male,present,single,no,Graduate,3.819444444444444,0.5,0.0
94,8014,44,2,11.875,0,12.333333333333334,no,no,133.1,male,absent,married,yes,Graduate,3.3622685185185186,0.0,0.46
96,9773,18,0,13.666666666666666,0,13.333333333333334,no,no,135.0,male,present,single,yes,Graduate,3.75,0.33,0.0
97,9500,18,0,13.75,0,14.47777777777778,yes,no,132.0,male,present,single,yes,Graduate,3.920524691358025,0.0,0.73
100,9085,21,7,12.875,4,13.4,no,no,130.0,male,present,single,yes,Dropout,3.6493055555555554,0.0,0.53
103,9003,43,13,14.63157894736842,10,14.23076923076923,no,no,133.1,male,present,married,yes,Graduate,4.008659469185785,0.4,0.0
105,9070,20,4,13.0,5,12.272727272727272,no,yes,130.0,male,present,single,yes,Graduate,3.51010101010101,0.73,0.0
108,9500,20,2,13.266666666666666,0,12.3,no,no,111.0,male,present,single,yes,Dropout,3.5509259259259256,0.97,0.0
110,9238,18,0,13.857142857142858,0,15.0,no,no,142.0,male,present,single,yes,Graduate,4.007936507936508,0.0,1.14
112,9085,19,0,13.4,0,12.8,no,no,131.0,male,present,single,yes,Graduate,3.6388888888888893,0.6,0.0
113,9773,18,0,12.666666666666666,0,12.571428571428571,no,no,158.0,male,present,single,yes,Graduate,3.505291005291005,0.1,0.0
114,9500,18,0,12.516666666666666,0,12.516666666666666,no,no,122.0,male,present,single,yes,Dropout,3.4768518518518516,0.0,0.0
118,9085,18,0,13.142857142857142,0,11.4,no,no,140.0,male,present,single,yes,Graduate,3.408730158730159,1.74,0.0
119,9147,18,0,12.6,0,14.0,no,no,127.0,male,present,single,yes,Graduate,3.6944444444444446,0.0,1.4
