,Actual,Predicted
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,2,1
7,1,1
8,2,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,2,1
19,1,1
20,2,1
21,1,1
22,1,1
23,1,1
24,2,1
25,1,1
26,2,1
27,2,2
28,1,1
29,1,1
30,1,1
31,2,2
32,1,1
33,1,1
34,2,1
35,1,1
36,2,2
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,2,1
49,1,1
50,1,1
51,2,2
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,2,1
60,1,1
61,2,1
62,1,1
63,1,1
64,1,1
65,1,1
66,2,1
67,2,1
68,1,2
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,2,2
76,1,1
77,1,1
78,2,1
79,1,1
80,2,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,2,1
88,2,1
89,1,1
90,2,1
91,1,1
92,1,1
93,1,1
94,1,1
95,2,1
96,1,1
97,1,1
98,1,1
99,2,1
100,2,1
101,2,1
102,1,1
103,1,1
104,1,1
105,1,1
106,2,1
107,1,1
108,1,1
109,2,1
110,2,2
111,1,1
112,1,1
113,2,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,2,1
120,2,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,2,1
128,1,1
129,1,1
130,1,1
131,2,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,2,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,2,1
166,1,1
167,1,1
168,1,1
169,2,1
170,1,1
171,1,1
172,1,1
173,1,1
174,2,1
175,1,1
176,1,1
177,1,1
178,1,1
179,2,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,2,2
191,2,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,2,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,2,2
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,2,1
213,1,1
214,2,1
215,1,1
216,2,1
217,1,1
218,1,1
219,1,1
220,1,1
221,2,2
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,2,1
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,2,2
236,1,1
237,1,2
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,2,2
247,1,1
248,1,1
249,2,2
250,1,1
251,1,1
252,1,2
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,2,1
262,1,1
263,1,1
264,2,2
265,1,1
266,1,1
267,1,1
268,1,1
269,2,1
270,1,1
271,1,1
272,1,2
273,1,1
274,2,1
275,1,1
276,1,1
277,1,1
278,1,1
279,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,1,1
285,1,1
286,2,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,2,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,2,1
305,2,1
306,1,1
307,1,1
308,1,2
309,1,1
310,1,1
311,2,1
312,2,1
313,1,1
314,1,1
315,1,1
316,1,1
317,2,1
318,1,1
319,2,1
320,2,1
321,1,1
322,2,2
323,1,1
324,2,2
325,1,1
326,2,1
327,1,1
328,1,1
329,1,1
330,2,1
331,2,1
332,2,1
333,2,2
334,1,1
335,2,1
336,1,1
337,1,1
338,2,1
339,1,1
340,2,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,2,2
348,1,1
349,1,1
350,1,1
351,1,1
352,2,2
353,1,1
354,1,1
355,1,1
356,2,1
357,1,1
358,1,1
359,1,1
360,2,1
361,2,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,2,1
369,2,1
370,1,2
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,2,1
377,2,1
378,1,1
379,1,1
380,2,2
381,1,1
382,1,1
383,1,1
384,1,1
385,1,1
386,1,1
387,1,1
388,2,2
389,1,1
390,1,1
391,1,1
392,2,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,2,2
402,1,1
403,2,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
419,1,1
420,2,2
421,1,1
422,1,1
423,2,1
424,1,1
425,2,1
426,1,1
427,2,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,2,2
446,2,1
447,1,1
448,1,1
449,2,1
450,1,1
451,1,1
452,2,1
453,1,1
454,1,1
455,1,1
456,1,2
457,2,2
458,1,1
459,1,1
460,1,1
461,2,1
462,2,1
463,1,1
464,1,1
465,1,1
466,1,1
